round	well	tile	channel
1	A1	84	DAPI
1	A1	84	GFP
1	A1	85	AF750
1	A1	85	CY3
1	A1	85	CY5
1	A1	85	DAPI
1	A1	85	GFP
1	A1	86	AF750
1	A1	86	CY3
1	A1	86	CY5
1	A1	86	DAPI
1	A1	86	GFP
1	A1	87	AF750
1	A1	87	CY3
1	A1	87	CY5
1	A1	87	DAPI
1	A1	87	GFP
1	A1	88	AF750
1	A1	88	CY3
1	A1	88	CY5
1	A1	88	DAPI
1	A1	88	GFP
1	A1	89	AF750
1	A1	89	CY3
1	A1	89	CY5
1	A1	89	DAPI
1	A1	89	GFP
1	A1	90	AF750
1	A1	90	CY3
1	A1	90	CY5
1	A1	90	DAPI
1	A1	90	GFP
1	A1	91	AF750
1	A1	91	CY3
1	A1	91	CY5
1	A1	91	DAPI
1	A1	91	GFP
1	A1	92	AF750
1	A1	92	CY3
1	A1	92	CY5
1	A1	92	DAPI
1	A1	92	GFP
1	A1	93	AF750
1	A1	93	CY3
1	A1	93	CY5
1	A1	93	DAPI
1	A1	93	GFP
1	A1	94	AF750
1	A1	94	CY3
1	A1	94	CY5
1	A1	94	DAPI
1	A1	94	GFP
1	A1	95	AF750
1	A1	95	CY3
1	A1	95	CY5
1	A1	95	DAPI
1	A1	95	GFP
1	A1	96	AF750
1	A1	96	CY3
1	A1	96	CY5
1	A1	96	DAPI
1	A1	96	GFP
1	A1	97	AF750
1	A1	97	CY3
1	A1	97	CY5
1	A1	97	DAPI
1	A1	97	GFP
1	A1	98	AF750
1	A1	98	CY3
1	A1	98	CY5
1	A1	98	DAPI
1	A1	98	GFP
1	A1	99	AF750
1	A1	99	CY3
1	A1	99	CY5
1	A1	99	DAPI
1	A1	99	GFP
1	A1	100	AF750
1	A1	100	CY3
1	A1	100	CY5
1	A1	100	DAPI
1	A1	100	GFP
1	A1	101	AF750
1	A1	101	CY3
1	A1	101	CY5
1	A1	101	DAPI
1	A1	101	GFP
1	A1	102	AF750
1	A1	102	CY3
1	A1	102	CY5
1	A1	102	DAPI
1	A1	102	GFP
1	A1	103	AF750
1	A1	103	CY3
1	A1	103	CY5
1	A1	103	DAPI
1	A1	103	GFP
1	A1	104	AF750
1	A1	104	CY3
1	A1	104	CY5
1	A1	104	DAPI
1	A1	104	GFP
1	A1	105	AF750
1	A1	105	CY3
1	A1	105	CY5
1	A1	105	DAPI
1	A1	105	GFP
1	A1	106	AF750
1	A1	106	CY3
1	A1	106	CY5
1	A1	106	DAPI
1	A1	106	GFP
1	A1	107	AF750
1	A1	107	CY3
1	A1	107	CY5
1	A1	107	DAPI
1	A1	107	GFP
1	A1	108	AF750
1	A1	108	CY3
1	A1	108	CY5
1	A1	108	DAPI
1	A1	108	GFP
1	A1	109	AF750
1	A1	109	CY3
1	A1	109	CY5
1	A1	109	DAPI
1	A1	109	GFP
1	A1	110	AF750
1	A1	110	CY3
1	A1	110	CY5
1	A1	110	DAPI
1	A1	110	GFP
1	A1	111	AF750
1	A1	111	CY3
1	A1	111	CY5
1	A1	111	DAPI
1	A1	111	GFP
1	A1	112	AF750
1	A1	112	CY3
1	A1	112	CY5
1	A1	112	DAPI
1	A1	112	GFP
1	A1	113	AF750
1	A1	113	CY3
1	A1	113	CY5
1	A1	113	DAPI
1	A1	113	GFP
1	A1	114	AF750
1	A1	114	CY3
1	A1	114	CY5
1	A1	114	DAPI
1	A1	114	GFP
1	A1	115	AF750
1	A1	115	CY3
1	A1	115	CY5
1	A1	115	DAPI
1	A1	115	GFP
1	A1	116	AF750
1	A1	116	CY3
1	A1	116	CY5
1	A1	116	DAPI
1	A1	116	GFP
