sample_fp	plate	well	round	tile	channel
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0021_ChannelGFP_5p_100ms_Seq0109.nd2	1	A1	1	21	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0022_ChannelAF750_30p_100ms_Seq0113.nd2	1	A1	1	22	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0022_ChannelCY3_30p_100ms_Seq0111.nd2	1	A1	1	22	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0022_ChannelCY5_40p_100ms_Seq0112.nd2	1	A1	1	22	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0022_ChannelDAPI_1p_50ms_Seq0110.nd2	1	A1	1	22	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0022_ChannelGFP_5p_100ms_Seq0114.nd2	1	A1	1	22	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0023_ChannelAF750_30p_100ms_Seq0118.nd2	1	A1	1	23	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0023_ChannelCY3_30p_100ms_Seq0116.nd2	1	A1	1	23	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0023_ChannelCY5_40p_100ms_Seq0117.nd2	1	A1	1	23	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0023_ChannelDAPI_1p_50ms_Seq0115.nd2	1	A1	1	23	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0023_ChannelGFP_5p_100ms_Seq0119.nd2	1	A1	1	23	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0024_ChannelAF750_30p_100ms_Seq0123.nd2	1	A1	1	24	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0024_ChannelCY3_30p_100ms_Seq0121.nd2	1	A1	1	24	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0024_ChannelCY5_40p_100ms_Seq0122.nd2	1	A1	1	24	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0024_ChannelDAPI_1p_50ms_Seq0120.nd2	1	A1	1	24	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0024_ChannelGFP_5p_100ms_Seq0124.nd2	1	A1	1	24	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0025_ChannelAF750_30p_100ms_Seq0128.nd2	1	A1	1	25	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0025_ChannelCY3_30p_100ms_Seq0126.nd2	1	A1	1	25	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0025_ChannelCY5_40p_100ms_Seq0127.nd2	1	A1	1	25	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0025_ChannelDAPI_1p_50ms_Seq0125.nd2	1	A1	1	25	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0025_ChannelGFP_5p_100ms_Seq0129.nd2	1	A1	1	25	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0026_ChannelAF750_30p_100ms_Seq0133.nd2	1	A1	1	26	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0026_ChannelCY3_30p_100ms_Seq0131.nd2	1	A1	1	26	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0026_ChannelCY5_40p_100ms_Seq0132.nd2	1	A1	1	26	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0026_ChannelDAPI_1p_50ms_Seq0130.nd2	1	A1	1	26	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0026_ChannelGFP_5p_100ms_Seq0134.nd2	1	A1	1	26	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0027_ChannelAF750_30p_100ms_Seq0138.nd2	1	A1	1	27	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0027_ChannelCY3_30p_100ms_Seq0136.nd2	1	A1	1	27	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0027_ChannelCY5_40p_100ms_Seq0137.nd2	1	A1	1	27	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0027_ChannelDAPI_1p_50ms_Seq0135.nd2	1	A1	1	27	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0027_ChannelGFP_5p_100ms_Seq0139.nd2	1	A1	1	27	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0028_ChannelAF750_30p_100ms_Seq0143.nd2	1	A1	1	28	AF750
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0028_ChannelCY3_30p_100ms_Seq0141.nd2	1	A1	1	28	CY3
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0028_ChannelCY5_40p_100ms_Seq0142.nd2	1	A1	1	28	CY5
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0028_ChannelDAPI_1p_50ms_Seq0140.nd2	1	A1	1	28	DAPI
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0028_ChannelGFP_5p_100ms_Seq0144.nd2	1	A1	1	28	GFP
/lab/ops_data/etna/input_ph/plate_1/round_1/WellA1_PointA1_0029_ChannelAF750_30p_100ms_Seq0148.nd2	1	A1	1	29	AF750
